name,rating,region,difficulty,time,distance,season,dog_friendly,no_dogs_allowed,public_transit,camping,url,description
Abby Grind,4.3,Fraser Valley East,Intermediate,1.5,4.0,year-round,True,False,False,False,https://www.vancouvertrails.com/trails/abby-grind/,"The Abby Grind is a steep hike that gains about 320 meters in 2km and ends at a scenic viewpoint looking southwest across Abbotsford. While not as steep as theGrouse Grind, the Abby Grind is still a good workout and a popular hiking trail. The trail is part of the route to Taggart Peak, also known as the Glen Ryder Trail, however the Abby Grind ends at the first viewpoint about 2km up. Hikers wanting to continue to Taggart Peak can do so for an additional 3.5km one-way. From the gravel parking lot area, the trail begins to the right by the bushes, immediately climbing up the hill. With the start of the trail being located near the Abbotsford Fish & Game Club, you will likely hear gunshots from the target range at the beginning of the trail, however the trail veers east and eventually the sounds become unnoticeable. Continue hiking uphill as the narrow trail becomes slightly wider and easier to follow after the initial section. Not far into the hike, you reach a sign on a tree marking the 1/4 mark of the hike. The section just after this point levels out as you quickly make time. As the trail again climbs, you reach the 1/2 way point along one of the steepest sections of the route. This is a difficult spot to stop to rest, so continue up the steep section until the trail levels where there is more space to catch your breath. Further up the trail at the 3/4 marker, the trail split into two different routes. Going right is shorter but steeper and going left is a bit longer but not quite as steep. The recommendation is to go right up the steeper, shorter route, then return via the less-steep route as it's easier to hike down. As you hike up the steeper route, watch for the trail to the left that you'll want to return on as it is not marked and appears at a corner to the left as the trail goes right. Eventually, you reach a marked junction where the trail goes to Taggart Peak to the left and the viewpoint to the right. Go right to the viewpoint and walk the short distance to an opening on a rocky bluff, marking the end of the Abby Grind. After enjoying the view of the Abbotsford area, walk back into the forest and begin your descent back to the parking lot. Just after passing the junction that goes to Taggart Peak, the trail veers left. Instead of going left, go straight and follow the alternate trail that is less steep and joins the main trail at the 3/4 mark. Being less steep, this route will be easier on your knees. At the 3/4 marker, continue following the route downhill as you move quickly through the gradually descending sections. Watch your footing on the loose dirt on the steep sections. Eventually, as you hear the gunfire from the shooting range, the parking lot becomes visible between the trees and you arrive back at where you began."
Admiralty Point,4.5,Tri Cities,Easy,1.5,5.0,year-round,True,False,True,False,https://www.vancouvertrails.com/trails/admiralty-point/,"Located in Belcarra Regional Park, Admiralty Point is a short hike that offers spectacular views of Deep Cove, Mount Seymour, and Burnaby Mountain across the waterways connecting Burrard Inlet with Indian Arm. The trail has very little elevation change and is perfect for families. From the parking lot facing the water, walk towards the public bathrooms and follow the paved path towards the beach area. Before reaching the beach, a small sign on your left points in the direction to Admiralty Point. Follow the dirt trail into the forest and away from the crowded park area. Shortly after walking on the dirt trail, you arrive at a gravel road which is actually a driveway for one of the houses in the area. Cross the driveway and follow the trail as it begins to ascend. The short hill begins to level out very quickly and then follows a short flat section before descending back downhill where the water becomes visible through the trees. The trail continues along the shoreline, offering glimpses of scenery and the passing boats on a warm summer's day. The trail eventually reaches a sign pointing the way to Cod Rock. This is a short side track with a view worth checking out before continuing along the trail. After walking another kilometer from Cod Rock, the trail reaches a junction with a sign pointing the direction to Admiralty point. Go right and follow the path about 100 meters to a rocky outcrop along the shore. You've reached your destination and this is a great spot to relax and enjoy the beautiful view of the North Shore mountains as the waves lap up against the rocks. After enjoying the scenery at Admiralty Point, return to the main trail where the sign to Admiralty Point was. The trail continues for another 30 minutes or so to a beach area and Burns Point. The beach offers a similar view to what Admiralty Point has and is only a short distance beyond the junction. Burns Point offers a view of the waterway connecting Burrard Inlet with Port Moody. When you are ready to return to the picnic and parking area at Belcarra Regional Park, re-trace your steps along the trail and follow the path along the shoreline. Another hike in Belcarra Regional Park is the trail toJug Island Beach. The trail to Jug Island Beach is a bit more difficult and both trails can be hiked in one day."
Al's Habrich Ridge Trail,4.2,Howe Sound,Intermediate,5.0,7.0,July - October,False,True,False,False,https://www.vancouvertrails.com/trails/als-habrich-ridge-trail/,"Starting from the top of the Sea To Sky Gondola, the Al's Habrich Ridge Trail rises into the backcountry to offer incredible views of Howe Sound and the community of Squamish, BC. The route goes just beyond Neverland Lake and an extended route can be hiked to Neverland Falls. The Al's Habrich Ridge Trail is best done by taking the Sea To Sky gondola to the top but can also be done after hiking the Sea To Summit route from the bottom of the gondola. Walk to the area behind the Gondola and down the gravel road as you enter the backcountry. At the bottom, walk up the gravel road on the other side as it passes some water pumps and then a rock climbing area. At the first junction, go left following the signs up a separate gravel road. Continue past another clearing to your left  until you reach a sign on your left where the trail enters the forest to the Al's Habrich Route. The trail immediately crosses a small creek, which is sometimes dry in the later summer months. Continue following the trail markers as the route climbs quickly, passing over loose dirt. The trail will eventually reach a large rock with a rope hanging down to assist in pulling yourself to the top. Just beyond the rope assist is a second, smaller rope. Pull yourself to the top of both before continuing to make your way uphill. Just beyond the rope assists, the trail begins to open up and follow a ridge along a granite rocky outcrop. Watch for markers and follow the route as it's easy to lose the trail through this section. There are occasional views of the mountain ranges to the west of Howe Sound and the views get better the higher you climb. The trail eventually reaches the top of this rocky ridge before dropping down into an old growth forest of yellow cedars. Follow the dirt trail through the forest as it climbs fairly steeply, being careful not to trip over the occasional exposed tree root. The trail will eventually begin to descend between two large rocks before it opens up with an incredible view of Howe Sound. On a clear day, the view will extend through a good portion of Howe Sound and north of Squamish. For a better view, backtrack along the trail for about 20-meters then scramble up the mountain to your left onto the large rock. From the top, you will be able to see a similar view of Howe Sound and Squamish but also view the Chief and several of the mountains in Garibaldi Provincial Park. To continue the trail from where you first arrived at the view (if you scrambled to the top, carefully make your way back down), you will go left on the rocky granite and walk along the ridge admiring the view. There are the occasional blue arrows painted onto the rock pointing the direction to where you need to go. At the end of the ridge, the route steps off the back of the ridge and onto a dirt trail that enters the forest. Follow this trail as it meanders through the trees, first passing a junction to the trail that takes you to the high ridge, then passing a junction with a trail that takes you to Neverland Falls. Not far beyond the second junction, you reach Neverland Lake, a small lake that has a small waterfall on the far end up to the early summer. There are a couple of additional viewpoints beyond the lake that are within 10-minutes or so. To continue, walk to the far end of the lake, cross the rocks where the river drains, then walk up the rocky steps, following the trail at the top. The trail dips down into the trees before rising onto another rocky outcrop with a view of Howe Sound. Continue to the right, following the ridge as you make your way to the top a few minutes later. The views at the top include Howe Sound and northward towards Garibaldi. This area marks the end of the Al's Habrich Ridge Trail. Before returning, those who want to add another 1-hour longer to their trip can complete the Neverland Loop Trail, which begins at the first junction beyond the lake on your way back. Go right and follow the trail uphill through the old growth forest. This route passes the Neverland Falls, which is a scenic waterfall, which is best viewed earlier in the summer before the snowpack melts. Return to the Sea To Sky Gondola by following the forested trail back around, then walking along the ridge with the incredible view. Walk up into the forest as it then descends quickly before arriving at the lower granite ridge. Carefully watch for the trail markers as you walk along the ridge, make your way back down the rope-assists, and then return to the gravel road before reaching the gondola where you began."
Alaksen National Wildlife Area,0.0,Tsawwassen and Delta,Easy,2.0,7.5,year-round,True,False,False,False,https://www.vancouvertrails.com/trails/alaksen-national-wildlife-area/,"Alaksen National Wildlife Area is only openMonday - Friday from 8am - 3pmandClosed on Statutory Holidays. The Alaksen National Wildlife Area is located on the Fraser River Delta, providing an important habitat for many bird species, including being a stopover for many migratory birds. The area is managed under the Canada Wildlife Act and is a great opportunity for bird watchers to experience many different species of birds throughout the year. Alaksen National Wildlife Area is only open Monday to Friday from 8am to 3pm and closed on Statutory Holidays. There are three trails in Alaksen National Wildlife Area: Triangle Loop Trail:A 1.7km trail roundtrip.Roberts Bank Trail:A 5.8km trail roundtrip that starts from a junction with the Triangle Loop Trail.Sunnyside Trail:A 2.2km trail This trail description recommends walking the Triangle Loop Trail, then continuing along the Fraser River on the Roberts Bank Trail to the end. From there, walk back to the junction with the Triangle Loop Trail and go right, returning to the parking lot area. We recommend skipping the Sunnyside Trail as most of it is covered with no views. From the gravel parking lot area, walk west along the road and go to the right, walking on a gravel road northward. As you approach the building, look for a sign to the right and follow the narrow gravel road along a dyke as it passes under a canopy of trees. The trail continues until it veers left at a point along the Fraser River. Walk along the trail, admiring the views of the Fraser River and the forest and marshland to the left. During the spring months, there is a constant chirping of dozens of different bird species, including red winged blackbirds, yellow warblers, marsh wrens, and song sparrows. The trail reaches a junction and this marks the start of the Roberts Bank Trail. Continue walking straight as it follows the wide, flat path alongside the Fraser River. The views peer across the Fraser River as you catch a glimpse of Steveston. The trail ends next to a marshy canal. If you're lucky, you may spot a great blue heron stalking its prey or a bald eagle flying overhead. Retrace your steps back along the gravel path as you observe the views from a different angle. When you reach the junction, go right and walk along the gravel path as you pass several buildings, returning back to the parking area where you began."
Aldergrove Regional Park,4.4,Surrey and Langley,Easy,2.0,5.0,year-round,True,False,False,False,https://www.vancouvertrails.com/trails/aldergrove-regional-park/,"Aldergrove Regional Park is located on the border of Aldergrove and Langley and just a short distance from the US Border. The park is very popular with families for its easy trails, scenic landscape, and multiple picnic areas. The area also has a number of horse trails and the wide open section of Aldergrove Bowl is popular with horseback riders. The ""historic"" lake in the park was formerly located on the west side but had to be removed due to needing major repairs. The lake was actually a man-made cement pool but was filled in and is now a grassy picnic area. There are several routes in the park, however we focus on the hiking trails and try to avoid the multi-use trails. Park the car near the picnic area and start your hike at the east end of the park lot, looking for the Pepin Brook Trail sign. Follow the trail as it winds its way along the slow moving waterway and through the forest, passing a couple of junctions that go to the Rock N' Horse Trail to your right. At the third junction, you will have to decide whether to do a longer hike to the Aldergrove Bowl or loop back doing a shorter circuit to the picnic area. To go to Aldergrove Bowl, go right and continue along the the same side of Pepin Brook, eventually arriving at Lefeuvre Road. Go right and walk along the road for about 250 meters where you will see a parking lot on your right. Walk into the parking lot for a view of the bowl and take one of the trails that loops around the area. The viewpoint on top of one of the area's rolling hills is worth checking out as it offers a pretty view of the area. Once you have completed the Aldergrove Bowl area, return via the route you came or you can also find your way back to the Pepin Brook Trail via the Rock N' Horse Trail. Back at the third junction, if you have decided to just do the shorter loop, go left and cross the wooden bridge over Pepin Brook. The gravel trail continues to another junction, where going right takes you to a large dog off-leash area. Go left and continue along the trail as it begins to ascend, crossing a couple of creeks that feed into the stream below. As the trail levels, it exists the forest and you arrive at a junction near the upper parking area of the main entrance. Go left and over the tiny hill and follow the trail as it descends quickly downhill arriving at the main parking lot below. Once back at the parking lot, there are some small trails to explore that circle the ""historic"" lake and the field near the picnic area. You can decide whether to walk around these or continue walking through the parking lot, back to the car."
Alexandra Bridge,4.8,Fraser Valley East,Easy,0.5,1.6,March - November,True,False,False,False,https://www.vancouvertrails.com/trails/alexandra-bridge/,"Located along the mighty Fraser River, Alexandra Bridge served as an important link connecting the Cariboo region to Fort Langley. Today, the old Alexandra Bridge (the 2nd one built) provides a place for visitors to the area to stop and see an important piece of history in the area while also enjoying the incredible views of the Fraser Canyon. The trail is a short hike downhill to the bridge from the picnic area in the Provincial Park. From the sign at the start of the trail near the parking lot, follow the path into the forest as it descends and, within a couple of minutes, arrives at an old road. This was the old road that was used to access the bridge. Go left and follow the old road downhill. The road goes through a switchback and then crosses some train tracks. Be cautious at the tracks as they are very active with plenty of daily freight trains passing through the valley each day. Continue following the trail as it goes down, rounds through a switchback to the right, then one final straight away to the bridge. Walk out onto the old bridge with it's metal grates that provide a view of the fast rushing Fraser River below. As you walk across the bridge and look down stream, you can see the bridge that is in use along the Trans Canada Highway today. On the far side of the bridge, some of the cement structures stand and there is an opportunity to see the thick cables that hold the structure in place. Return to the parking lot by following the old road back uphill, crossing the train tracks, then walking back up the trail to the right. The Nlaka'pamux and Sto:lo First Nations have lived for thousands of years along the Fraser Canyon. There is evidence that an early bridge was built by local First Nations as a way to access important fishing areas along the Fraser. There were plans in the 1840's to connect New Caledonia with Fort Langley. New Caledonia refers to the central and northern section of current day British Columbia before BC became a Province in 1871. The area was a district of the Hudson's Bay Company, used for fur trading, and the original need was to build a trail connecting this region to Fort Langley, which was an important trading and shipping hub at the time. In 1858, a ferry service was established that connected the east and west shores to be used throughout the Gold Rush era. With more people flocking to the area during this period, it was a clear that a bridge was needed. Led by Joseph Trutch, the first road bridge was constructed in 1861 and was part of the Cariboo Wagon Road that stretched from Yale to Barkerville. The construction of the road through the Fraser Canyon was a difficult task and, at the time, a major engineering feat. Much of the difficult and dangerous work along the route was done by First Nations and Chinese workers, many who lost their lives. The bridge was named after Princess Alexandra of Wales. The Fraser Flood of 1894 destroy the original bridge and the structure was never rebuilt. In the 1880's, the Canadian Pacific Railway was built through the treacherous sections of the Fraser Canyons and several sections of the Cariboo Wagon Road were used for the tracks. In the 1920's, the rise of the automobile saw the Province of British Columbia invest in the construction of the new Cariboo Highway through the Fraser Canyon. The second Alexandra Bridge was built across the river, enabling vehicle traffic to pass through the area. The suspension bridge is still the same one that exists today today, although it was closed to traffic in 1964 after the Ministry of Transportation built the third Alexandra Bridge. Alexandra Bridge Provincial Park was established in 1984 to provide access to the second bridge. The park provides a timely location for a rest along the driving route through the Fraser Canyon and the trail is just 500-metres in each direction. The bridge provides some magnificent views of the rugged canyon below as well as the steep cliffs that makeup the area."
Alice Lake,4.1,Howe Sound,Easy,2.0,6.0,April - November,True,False,False,True,https://www.vancouvertrails.com/trails/alice-lake/,"A popular camping spot in the summer, Alice Lake contains a network of hiking trails perfect for those looking to get outdoors for a nice walk. The Four Lakes Trail offers a scenic easy hike that loops around the park and passes lakes, creeks, and groves of Cedar, Hemlock, and Douglas Fir trees. From the parking lot, walk towards the beach area of Alice Lake and follow the path, heading counterclockwise around the lake.  On the opposite side of the lake is another small beach area and a parking lot. Walk up the steps to the parking lot and a short distance to the left is a trail that heads uphill next to a small creek. A sign should mark the start of this trail as the ""Four Lakes Trail"". Take the ""Four Lakes Trail"" as it heads uphill and away from the crowds. A couple of small bridges cross the creek before the trail becomes a bit steeper and goes through a series of switchbacks. After a few switchbacks, the trail levels out and continues for another 10 minutes to a sign that points to Edith Lake. Walk down the short hill and on the other side of the trees sits Edith Lake. Continue a short distance to the left for a better view. To head to the next lake, continue walking along the wide road to the left towards an intersection with another gravel road. Cross the intersection and continue straight as the road narrows. A short distance later, you will reach another junction with an old sign. Stay to the left and just a few steps further is another sign that leads to a short trail to Fawn Lake, the third lake of this loop. Fawn Lake is the smallest of the four lakes but is also very scenic and has a nice area to sit and have a snack while enjoying the scenery. Walk back to the main trail and immediately go left, taking the trail towards Stump Lake. The trail weaves through the forest and gradually descends downhill. Eventually, you reach another junction with a sign. Continue walking straight as the sound of rushing water from the Cheekye River becomes louder. The trail winds through another forest grove before reaching a switchback where the Cheekye River can be seen below. A short distance from the river, the trail comes up over a small ridge to reveal a view of Stump Lake. Go left at the junction and walk alongside the lake, keeping an eye out for other scenic views. At the far end of Stump Lake, you reach a final junction with a sign that takes you back towards the camping area and parking lot of Alice Lake. Take this trail to the paved road. Carefully cross the road and walk down the other side into the camping area until you reach the end of the road and can see Alice Lake. Go right and walk towards the parking lot where you started your hike."
Ancient Cedars Trail,3.3,Whistler,Intermediate,2.0,5.0,June - October,True,False,False,False,https://www.vancouvertrails.com/trails/ancient-cedars-trail/,"Located just north of Whistler, the Ancient Cedars Trail follows a scenic, forested route that ends in a grove of massive old-growth cedar trees. The trailhead begins 4.5km up the Cougar Mountain forest service road, a gravel road that is accessible in the summer and most cars should be drive. From the parking area, walk past the Ancient Cedars Trail sign and up the gravel path as it gently ascends for the first section before climbing steadily. The grade of the trail isn't too difficult but on a hot summer's day, it can be challenging. Continue uphill until the trail flattens and you pass a 1km marker on a tree. Pass through a flat section and follow the trail as it goes down a short hill and exits onto a wider, rocky trail. At this junction, go right and uphill, carefully watching your step on the loose rocks. At the top, go left and follow the trail back into the forest. The trail weaves its way through the forest before passing a large rock and reaching a junction just beyond. It's worth the short walk down this side trail for a quick view of Cougar Lake and the surrounding forest. Back on the trail, continue your hike until you reach a bridge. This is the start and end point of the loop as you will return from the trail on your right. Go straight across the bridge and, almost immediately after, look for a small waterfall from the creek to your left. Continue your hike through the forest and only a few minutes later, you arrive at the forest of several massive cedar trees. This small grove of trees was one of the few areas around Whistler not logged and some of these trails are estimated to be hundreds of years old. Continue through the grove, taking your time to enjoy the forest. Cross the small wooden bridge and down the trail, returning to the start of the loop next to the initial bridge. Go left and retrace your footsteps back through the forest, down the steep gravel trail, making sure to go left at the junction. Up the short hill and back into the forest before descending back downhill to the parking lot area where you began."
Ascent Trail,4.5,Whistler,Difficult,3.5,6.1,July - September,False,True,False,False,https://www.vancouvertrails.com/trails/ascent-trail/,"The Ascent Trail is a steep hiking trail that starts from the base of Blackcomb Mountain and ends at the top next to the Rendezvous Lodge. The trail is a good workout yet the route has been built in such a way that you sometimes forget that you are hiking next to ski slopes. The trail passes through scenic forested sections, crosses bridges over small creeks, and meanders up ski hills with incredible views of the Whistler area below. The trail is generally hiked from the bottom to the top and then you can take the chairlift back down. However, if you do not have a seaon's pass, you MUST purchase an Ascent Trail Download ticket from Guest Services before you hike up the mountain. Make sure that you check the operating schedule of the Solar Coaster Express and Wizard Chairlifts before hiking to the top as they close at different times throughout the season. There are three sections to the Ascent Trail: Some hikers choose to hike the first two sections to where the top of the Wizard Chairlift meets the bottom of the Solar Coaster Express Chairlift. At this point, you can take a chairlift back down or take a chairlift up to the top and not hike the third section. If you plan to take the chairlift up the third section, you will need to purchase a different ticket before you begin the hike. From the base of Blackcomb Mountain, the trailhead is located just up the hill, to the right of the Wizard Chairlift where a large wooden overhang stands at the entrance to the forest. Follow the trail as is gently climbs, crossing small bridges and weaving through the forest area. The trail exits the forest and then climbs a steep, gravel path before entering the forest again. Continue following the well market route until it, again, exits the forest and follows a gravel path up to a sign marking the start of Big Burn. Begin hiking up the second section of trail as you quickly gain elevation and realize why it's called Big Burn. Cross a gravel road and continue into the forest, following the trail. This section of forest is quite long and climbs up several steep sets of wooden stairs before, eventually, reaching another gravel road. Cross the gravel road and follow the worn trail up the ski run as it zig-zags back and forth. Make sure to stop and look back at the incredible view of the Whistler area behind you. During the mid-summer months, the wildflowers often grow on the ski runs, making for a very colourful display as you admire the views. The trail enters back into the forest and continues its steep ascent, making its way up several more sets of wooden stairs. Eventually, you exit the forest and arrive next to the Wizard and Solar Coaster Express chairlifts. At this point you have to decide whether you will be hiking the third section. The Heart Burn section is the longest and gains the most elevation, however it passes through a series of long switchbacks and has fewer stairs than the Big Burn section. Follow the trail as it climbs through the ski run, following the path towards the chairlift, before veering right. The trail enters the forest and immediately climbs up a large set of stairs before, again, veering right and then beginning a series of gradual switchbacks. Take advantage and enjoy the views when the trails briefly leaves the forest areas. As you continue to feel the burn on your legs, the trail pretty much has similar views, until you hike up a small ravine and arrive next to a kids castle with slides. This play area is only used in the winter though as the slides have a long drop where there would normally be snow. Continue hiking up the hill and walk through a small tunnel. The trail continues a bit further to another gravel road. Cross the gravel road and begin ascending the final forested section. This section of trail has some fairly steep sections however, occasional glimpses of the Peak 2 Peak Gondola can be seen through the trees, offering relief that the end is near. The trail reaches a point where it exits the forest and then follows signs up to the Rendezvous Lodge."
Baden Powell Deep Cove to Lynn Canyon,4.1,The North Shore,Intermediate,5.0,12.0,year-round,True,False,True,False,https://www.vancouvertrails.com/trails/baden-powell-deep-cove-to-lynn-canyon/,"The eastern section of the Baden Powell trail travels through North Vancouver from Deep Cove to the Lynn Valley Suspension Bridge. This section of the trail passes several scenic landscapes, from a view of Deep Cove and Indian Arm, to great canyon scenery of the Seymour River and Lynn Creek. Note that this hike has a different starting and ending point, so you will need to arrange transportation either back to your car at the starting point or through public transit. A sign marks the Baden Powell trailhead in Deep Cove just beyond the small community along Panorama Road next to some houses. Walk up the wooden stairs to where the dirt trail begins and continue your ascent up the side of the mountain. The first section of the trail is known by the locals asQuarry Rock, a short hiking trail that takes you to a large rock with a view of the entire Deep Cove and Indian Arm area. Follow the trail as it weaves its way through the forest, gradually climbing, then levelling, crossing small wooden bridges along the route. As you arrive at Quarry Rock, walk out onto the large rocky outcrop and enjoy the scenic views of Deep Cove, Indian Arm, and Belcarra and Port Moody across the water. After taking in the view, make your way back to the trail and follow the trail up the rocky hill until you reach a gravel road. Stay to the right and then go right at what looks like a junction. Take the trail back into the forest on the left as it leaves the gravel road and continues to gradually snake its way uphill. Not long after leaving the gravel road, the trail reaches a paved road called Indian River Drive. The Baden Powell Trail continues west along this road, so go left and walk alongside the road, carefully watching for cars passing alongside the narrow road. The start of the Baden Powell trail is next to a large water tower on the opposite side of the road. Carefully cross the road and continue your hike. The next section of trail is relatively flat with some gradual ascents, making it easy to cover quite a distance in a relatively short period of time. The forest is lush, think with douglas fir and western cedar trees as you enter into the Mount Seymour area. The trail eventually reaches the Mount Seymour parkway, where there is an outhouse for those needing a quick bathroom break. The road can be busy at times and cars are often speeding as they round the corner coming downhill, so be very cautious when crossing the Mount Seymour parkway. Once on the other side, disappear again into the forest and continue your hike. Shortly after leaving the road, the trail reaches a 4-way intersection. Go straight and follow the rocky trail along a fairly level grade, once again, covering a fair amount of distance in a relatively short period of time, and eventually passing the west park boundary. The trail eventually reaches a junction with the Mushroom Trail. Go left on the Mushroom Trail and follow the Baden Powell markers, staying to the right and avoiding the popular mountain bike trail known as Severed Dick. For the next section, the trail descends quickly over very rocky terrain, making this a challenge to keep your balance and footing. Continue downhill for another 20 to 30 minutes before reaching another junction and go right, following the signs marking the Baden Powell trail. There are a series of trails near this neighbourhood so make sure to follow the well marked signs and watch for the orange Baden Powell markers on the trees. The trail eventually reaches a neighbourhood road, a popular car parking area with hikers and mountain bikers looking to explore the nearby trails. Directly across the road, the Baden Powell continues in a narrow section of trail between the houses, as it wraps its way through the neighbourhood. Go left at the next junction and walk a short distance to a clearing where a trail on the right veers off and down a very steep hill towards a pipe bridge crossing the Seymour River. Cross the bridge and immediately walk up the steep steps and hillside that snakes its way to the top. Once at the top, cross under the power lines and continue to the road up ahead. Cross the road and continue following the Baden Powell trail through the winding forest until you reach another junction. Go right at this junction and make your way downhill, descending towards Lynn Creek and a section of raised boardwalks. Just off to the left of the first set of boardwalks, there is a rocky beach area with a scenic view of Lynn Creek as it passes through a rocky canyon. Back on the trail, continue following the path alongside the creek as it gradually heads uphill until you reach the popular tourist waterfall at Twin Falls. After enjoying the view, it's only a short distance to the end of this sect of trail. Continue your hike as it reaches a set of wood steps and a slightly steeper section of the trail. Once you have climbed up the final series of steps, go left at the junction with the sign pointing the way to Lynn Canyon Suspension Bridge and walk over the wooden walkways before crossing the suspended bridge, now high above Lynn Creek. On the other side of the bridge is the Lynn Valley Ecology Centre marking the end of this section of the Baden Powell Trail."
